book_id,sim_book_id
2767052,1902241
2767052,954674
2767052,9917938
2767052,10165727
2767052,7826116
2767052,8901953
2767052,10025305
2767052,153785
2767052,199786
2767052,7304203
2767052,295650
2767052,775977
2767052,9424367
2767052,10637766
2767052,6527740
2767052,7849341
3,13830
3,37586
3,807968
3,444304
3,12127750
3,51428
3,259836
3,169879
41865,1326258
41865,140077
41865,35729
41865,11260526
41865,9376345
41865,6421588
41865,7239607
41865,1388813
41865,263171
41865,13641721
41865,10428848
41865,1895792
41865,2802316
41865,30244
2657,2156
2657,3581
2657,656
2657,18765
2657,355697
2657,1617
2657,219919
11870085,9627755
11870085,12384984
11870085,9634267
11870085,7818683
11870085,7540092
11870085,17340050
11870085,13069681
11870085,8662836
11870085,7507889
11870085,1629601
11870085,9165406
5907,44687
5907,64216
5907,62012
5907,201342
5907,15568
5907,11350430
5907,140225
5907,222576
5907,119324
5907,177250
5907,10090
5907,239103
1885,311163
1885,3008
1885,17567
1885,7898
1885,77394
1885,108759
1885,156538
960,15769
960,92147
960,1178039
960,41700
960,144789
960,32682
960,4494917
960,3313418
960,2033217
960,5062
48855,561909
48855,781787
48855,7284508
48855,948584
48855,319300
48855,534255
48855,764903
48855,91357
48855,275228
48855,48834
48855,15197
13335037,13253276
13335037,10816908
13335037,9917998
13335037,9867814
13335037,9424367
13335037,6555517
13335037,10193062
13335037,10165761
13335037,11563110
13335037,12812550
13335037,7849341
13335037,8901953
13335037,6043849
13335037,12410324
13335037,11614718
5,65111
5,239917
5,393145
5,40159
5,13927
5,114956
5,768878
5,116560
2429135,3522419
2429135,359126
2429135,39792
2429135,68768
2429135,29204
2429135,32255
2429135,280366
2429135,31372
2429135,21671
6148028,9918083
6148028,6043849
6148028,2802316
6148028,12995284
6148028,3657138
6148028,10345937
6148028,3996887
6148028,6065629
6148028,4837032
6148028,2696181
6148028,58890
6148028,2169506
6148028,18122
6148028,295654
15881,58894
15881,2146957
15881,7826116
15881,93724
15881,8113344
15881,2073686
15881,34290
15881,169871
15881,385742
15881,393145
15881,65110
34,687215
34,169879
34,13815
34,187065
34,66695
34,45102
34,28485
34,116982
34,64105
6,13835
6,10165761
6,127459
6,23224
6,84369
6,19307
6,848878
6,355916
6,337058
136251,13833
136251,493124
136251,7243142
136251,59264
136251,28251
136251,28195
136251,59715
136251,963508
136251,587582
2,13925
2,319644
2,13833
2,775983
2,14358
2,8884616
2,8709526
2,7005865
2,6594657
2,4935682
2,23225
2,2592122
2,295654
2,119324
7260188,9917938
7260188,6555517
7260188,10165727
7260188,6527740
7260188,6390465
7260188,7540092
7260188,8288246
7260188,15754052
7260188,13615258
7260188,10193062
7260188,6768411
7260188,5711714
7260188,5047880
7260188,4002159
7260188,58893
7260188,6318426
7260188,5819551
7260188,4499214
1,153795
1,201341
1,227865
1,84119
1,86737
1,18122
1,324277
1,8949
18135,178911
100915,24781
100915,77767
100915,11313
100915,77276
100915,7983
100915,116597
100915,34284
100915,183656
100915,19307
100915,144006
100915,10336
4667024,43641
4667024,2138727
4667024,1103
4667024,6718608
4667024,6505109
4667024,94672
4667024,16449
4667024,5060378
4667024,11206
968,1178039
968,278210
968,198331
968,6588
968,14554
968,144791
968,294046
968,39031
968,78971
968,5053
968,5355
968,238142
28187,355917
28187,176326
28187,7182899
28187,7826116
28187,1524173
28187,65093
28187,1211904
28187,295086
28187,215543
28187,13139
28187,2402971
13496,28689
13496,9832370
13496,2315892
13496,45102
13496,40223
13496,13284283
13496,7743175
13496,4978
13496,55401
13496,22867
10818853,16136959
10818853,13612739
10818853,13560262
10818853,12958487
10818853,16070018
10818853,8204005
10818853,17255265
10818853,13548075
10818853,13596809
3636,785453
3636,24137
3636,153785
3636,106597
3636,151370
3636,310459
3636,368468
3636,298730
3636,41424
930,7244
930,1103
930,261331
930,41977
930,107301
930,803120
10210,95693
10210,387749
10210,5890
10210,156538
10210,73960
10210,140963
19063,11925514
19063,3002300
19063,40159
19063,7540092
19063,64481
19063,17950614
19063,1162022
19063,1948904
19063,295652
19063,1238338
19063,444414
256683,13547956
256683,8709526
256683,9761771
256683,9728843
256683,11864728
256683,11563110
256683,3575676
256683,8428064
256683,10800916
256683,8288246
256683,544257
49041,261122
49041,5604848
49041,6262365
49041,140075
49041,3054684
49041,189360
49041,3389671
49041,8709523
49041,7747263
49041,2149535
49041,35729
49041,704043
49041,395871
428263,140077
428263,2051840
428263,225669
428263,7239607
428263,42898
428263,715791
428263,395871
428263,2282133
428263,8652190
428263,3777732
428263,775986
428263,261122
113436,940127
113436,312050
113436,100476
113436,536982
113436,144349
113436,2866413
113436,114954
113436,393145
113436,100464
24178,91253
24178,475339
24178,61549
24178,900065
24178,188798
24178,232576
24178,42369
24178,774001
24178,37741
24178,297249
24178,420282
43641,9500416
43641,1379961
43641,1158967
43641,10987
43641,7742
1162543,4134071
1162543,7091488
1162543,9526658
1162543,7954556
1162543,42900
1162543,395871
1162543,6134826
22557272,2302650
22557272,22535503
22557272,22693182
22557272,20821043
22557272,11367726
22557272,26109394
22557272,25574782
22557272,23346719
22557272,18089975
22557272,6688087
15931,59846
15931,366346
15931,9282
15931,83674
15931,366522
30119,420404
30119,407429
30119,10065
30119,835202
30119,240130
30119,46677
30119,94804
30119,786256
30119,443658
30119,921651
30119,44186
30119,845403
119322,47624
119322,13836
119322,295198
119322,210329
119322,32636
119322,59264
119322,40159
119322,24782
11,349090
11,34529
6185,45032
6185,30597
6185,73960
